Month,Type,Value,Year,Unit,Month_num
September,South,33.8,2000,Occupancy rate of rooms,9
September,"West, Westfjords and Southwest to 2007",35.1,2000,Occupancy rate of rooms,9
September,Total,42.4,2000,Occupancy rate of beds,9
September,East,30.1,2000,Occupancy rate of beds,9
September,Capital region,56.8,2000,Occupancy rate of beds,9
September,North,25.2,2000,Occupancy rate of beds,9
September,South,24.7,2000,Occupancy rate of beds,9
September,"West, Westfjords and Southwest to 2007",26.8,2000,Occupancy rate of beds,9
October,Total,47.9,2000,Occupancy rate of rooms,10
October,East,23.0,2000,Occupancy rate of rooms,10
October,Capital region,68.0,2000,Occupancy rate of rooms,10
October,North,25.0,2000,Occupancy rate of rooms,10
October,South,18.7,2000,Occupancy rate of rooms,10
October,"West, Westfjords and Southwest to 2007",27.0,2000,Occupancy rate of rooms,10
October,Total,35.8,2000,Occupancy rate of beds,10
October,East,16.7,2000,Occupancy rate of beds,10
October,Capital region,51.2,2000,Occupancy rate of beds,10
October,North,18.0,2000,Occupancy rate of beds,10
October,South,13.0,2000,Occupancy rate of beds,10
October,"West, Westfjords and Southwest to 2007",22.1,2000,Occupancy rate of beds,10
November,Total,45.8,2000,Occupancy rate of rooms,11
November,East,16.0,2000,Occupancy rate of rooms,11
November,Capital region,66.4,2000,Occupancy rate of rooms,11
November,North,23.5,2000,Occupancy rate of rooms,11
November,South,15.4,2000,Occupancy rate of rooms,11
November,"West, Westfjords and Southwest to 2007",24.0,2000,Occupancy rate of rooms,11
November,Total,33.0,2000,Occupancy rate of beds,11
November,East,10.3,2000,Occupancy rate of beds,11
November,Capital region,48.4,2000,Occupancy rate of beds,11
November,North,16.6,2000,Occupancy rate of beds,11
November,South,11.1,2000,Occupancy rate of beds,11
November,"West, Westfjords and Southwest to 2007",17.7,2000,Occupancy rate of beds,11
December,Total,23.8,2000,Occupancy rate of rooms,12
December,East,5.9,2000,Occupancy rate of rooms,12
December,Capital region,36.2,2000,Occupancy rate of rooms,12
December,North,5.6,2000,Occupancy rate of rooms,12
December,South,7.3,2000,Occupancy rate of rooms,12
December,"West, Westfjords and Southwest to 2007",15.1,2000,Occupancy rate of rooms,12
