Month,Citizenship,Value,Year,Unit,Month_num
August,Icelanders,13554.0,1999,Overnight stays,8
August,Foreigners,92890.0,1999,Overnight stays,8
September,Total,30615.0,1999,Arrivals,9
September,Icelanders,8049.0,1999,Arrivals,9
September,Foreigners,22566.0,1999,Arrivals,9
September,Total,65788.0,1999,Overnight stays,9
September,Icelanders,12711.0,1999,Overnight stays,9
September,Foreigners,53077.0,1999,Overnight stays,9
October,Total,25012.0,1999,Arrivals,10
October,Icelanders,11682.0,1999,Arrivals,10
October,Foreigners,13330.0,1999,Arrivals,10
October,Total,54277.0,1999,Overnight stays,10
October,Icelanders,17619.0,1999,Overnight stays,10
October,Foreigners,36658.0,1999,Overnight stays,10
November,Total,20433.0,1999,Arrivals,11
November,Icelanders,10383.0,1999,Arrivals,11
November,Foreigners,10050.0,1999,Arrivals,11
November,Total,43453.0,1999,Overnight stays,11
November,Icelanders,16005.0,1999,Overnight stays,11
November,Foreigners,27448.0,1999,Overnight stays,11
December,Total,12730.0,1999,Arrivals,12
December,Icelanders,5259.0,1999,Arrivals,12
December,Foreigners,7471.0,1999,Arrivals,12
December,Total,28910.0,1999,Overnight stays,12
December,Icelanders,8813.0,1999,Overnight stays,12
December,Foreigners,20097.0,1999,Overnight stays,12
January,Total,12676.0,2000,Arrivals,1
January,Icelanders,6234.0,2000,Arrivals,1
January,Foreigners,6442.0,2000,Arrivals,1
January,Total,28336.0,2000,Overnight stays,1
January,Icelanders,10568.0,2000,Overnight stays,1
January,Foreigners,17768.0,2000,Overnight stays,1
February,Total,19066.0,2000,Arrivals,2
February,Icelanders,9124.0,2000,Arrivals,2
February,Foreigners,9942.0,2000,Arrivals,2
February,Total,40034.0,2000,Overnight stays,2
February,Icelanders,13872.0,2000,Overnight stays,2
February,Foreigners,26162.0,2000,Overnight stays,2
March,Total,26019.0,2000,Arrivals,3
March,Icelanders,11747.0,2000,Arrivals,3
March,Foreigners,14272.0,2000,Arrivals,3
March,Total,59092.0,2000,Overnight stays,3
March,Icelanders,20881.0,2000,Overnight stays,3
March,Foreigners,38211.0,2000,Overnight stays,3
April,Total,23547.0,2000,Arrivals,4
April,Icelanders,10275.0,2000,Arrivals,4
April,Foreigners,13272.0,2000,Arrivals,4
April,Total,60670.0,2000,Overnight stays,4
April,Icelanders,19666.0,2000,Overnight stays,4
April,Foreigners,41004.0,2000,Overnight stays,4
May,Total,27114.0,2000,Arrivals,5
May,Icelanders,9527.0,2000,Arrivals,5
May,Foreigners,17587.0,2000,Arrivals,5
May,Total,62439.0,2000,Overnight stays,5
