Country,YearMonth,Passengers,Year,Month_num,Month
Foreigners,2002M10,17771.0,2002,10,October
U.S.A.,2002M10,3089.0,2002,10,October
U.K.,2002M10,5086.0,2002,10,October
Denmark,2002M10,1475.0,2002,10,October
Finland,2002M10,465.0,2002,10,October
France,2002M10,408.0,2002,10,October
Netherlands,2002M10,563.0,2002,10,October
Italy,2002M10,109.0,2002,10,October
Japan,2002M10,162.0,2002,10,October
Canada,2002M10,157.0,2002,10,October
Norway,2002M10,1624.0,2002,10,October
Spain,2002M10,69.0,2002,10,October
Switzherland,2002M10,89.0,2002,10,October
Sweden,2002M10,1820.0,2002,10,October
Germany,2002M10,811.0,2002,10,October
Other Countries,2002M10,1844.0,2002,10,October
Total Passengers,2002M11,30775.0,2002,11,November
Iceland,2002M11,18369.0,2002,11,November
Foreigners,2002M11,12406.0,2002,11,November
U.S.A.,2002M11,2384.0,2002,11,November
U.K.,2002M11,2780.0,2002,11,November
Denmark,2002M11,1155.0,2002,11,November
Finland,2002M11,296.0,2002,11,November
France,2002M11,530.0,2002,11,November
Netherlands,2002M11,385.0,2002,11,November
Italy,2002M11,129.0,2002,11,November
Japan,2002M11,93.0,2002,11,November
Canada,2002M11,118.0,2002,11,November
Norway,2002M11,1349.0,2002,11,November
Spain,2002M11,56.0,2002,11,November
Switzherland,2002M11,56.0,2002,11,November
Sweden,2002M11,1410.0,2002,11,November
Germany,2002M11,503.0,2002,11,November
Other Countries,2002M11,1162.0,2002,11,November
Total Passengers,2002M12,22427.0,2002,12,December
Iceland,2002M12,11835.0,2002,12,December
Foreigners,2002M12,10592.0,2002,12,December
U.S.A.,2002M12,1767.0,2002,12,December
U.K.,2002M12,1816.0,2002,12,December
Denmark,2002M12,855.0,2002,12,December
Finland,2002M12,212.0,2002,12,December
France,2002M12,358.0,2002,12,December
Netherlands,2002M12,286.0,2002,12,December
Italy,2002M12,104.0,2002,12,December
Japan,2002M12,169.0,2002,12,December
Canada,2002M12,96.0,2002,12,December
Norway,2002M12,1102.0,2002,12,December
Spain,2002M12,107.0,2002,12,December
Switzherland,2002M12,79.0,2002,12,December
Sweden,2002M12,1242.0,2002,12,December
Germany,2002M12,654.0,2002,12,December
Other Countries,2002M12,1745.0,2002,12,December
Total Passengers,2003M01,30556.0,2003,1,January
Iceland,2003M01,17859.0,2003,1,January
Foreigners,2003M01,12697.0,2003,1,January
U.S.A.,2003M01,2451.0,2003,1,January
U.K.,2003M01,2927.0,2003,1,January
Denmark,2003M01,763.0,2003,1,January
Finland,2003M01,194.0,2003,1,January
France,2003M01,412.0,2003,1,January
Netherlands,2003M01,294.0,2003,1,January
Italy,2003M01,222.0,2003,1,January
Japan,2003M01,385.0,2003,1,January
Canada,2003M01,125.0,2003,1,January
Norway,2003M01,1075.0,2003,1,January
Spain,2003M01,125.0,2003,1,January
Switzherland,2003M01,104.0,2003,1,January
Sweden,2003M01,973.0,2003,1,January
Germany,2003M01,784.0,2003,1,January
Other Countries,2003M01,1863.0,2003,1,January
Total Passengers,2003M02,26738.0,2003,2,February
Iceland,2003M02,13790.0,2003,2,February
Foreigners,2003M02,12948.0,2003,2,February
U.S.A.,2003M02,1990.0,2003,2,February
U.K.,2003M02,3605.0,2003,2,February
Denmark,2003M02,917.0,2003,2,February
Finland,2003M02,290.0,2003,2,February
France,2003M02,631.0,2003,2,February
Netherlands,2003M02,458.0,2003,2,February
Italy,2003M02,108.0,2003,2,February
Japan,2003M02,238.0,2003,2,February
Canada,2003M02,93.0,2003,2,February
Norway,2003M02,1616.0,2003,2,February
Spain,2003M02,65.0,2003,2,February
Switzherland,2003M02,71.0,2003,2,February
Sweden,2003M02,1217.0,2003,2,February
